Common_name,Ref,IUPAC_name,CAS_number,Formula,C,H,N,O,S,P,Canonical_smile,InchI,Molecular_weight MW (g/mol),pKa,Log P,Log S,Polar Surface Area,Polarizability,Hydrogen Acceptor Count,Hydrogen Donor Count,HOMO-1 (eV),HOMO (eV),LUMO (eV),Ionization Energy I (eV),Electron Affinity A (eV),Electronegativity (eV),Hardness  (eV),Electrophilicity (eV)  , ?N_Fe ,IE EXP (%)
Caffeine,https://pubchem.ncbi.nlm.nih.gov/compound/2519#section=Names-and-Identifiers,"1,3,7-trimethylpurine-2,6-dione",58-08-2,C8H10N4O2,8,10,4,2,0,0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,"InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3",194.19,14,-0.07,-0.97,58.44,18.96,3,0,-6.235,-5.769,-1.977,5.769,1.977,3.873,1.896,0.96825,0.824630802,92
Acenocoumarol,https://pubchem.ncbi.nlm.nih.gov/compound/54676537#section=IUPAC-Name,4-hidroxi-3-[1(4-nitrofenil)-3-oxobutil] crome-2-ona,152-72-7,C 19 H 15 N O 6,19,15,1,6,0,0,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,"InChI=1S/C19H15NO6/c1-11(21)10-15(12-6-8-13(9-7-12)20(24)25)17-18(22)14-4-2-3-5-16(14)26-19(17)23/h2-9,15,22H,10H2,1H3",353.3,4.7,1.98,-4.5,109.42,34.35,66,1,-6.589,-6.399,-3.522,6.399,3.522,4.9605,1.4385,1.240125,0.708898158,92.25406245
Acetaminophen,https://pubchem.ncbi.nlm.nih.gov/compound/1983,N-(4-hydroxyphenyl)acetamide,103-90-2,C8H9NO2,8,9,1,2,0,0,CC(=O)NC1=CC=C(C=C1)O,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",151.16,9.9,0.91,-1.6,49.33,15.52,2,2,-6.116,-5.494,-1.646,5.494,1.646,3.57,1.924,0.8925,0.891372141,85.8
Acetazolamide ,https://www.drugbank.ca/drugs/DB00819,"N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)acetamide",59-66-5,C4H6N4O3S2,4,6,4,3,2,0,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,"InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)",222.3,8.8,-0.26,-2.36,115.04,19.16,5,2,-7.045,-7.01,-3.358,7.01,3.358,5.184,1.826,1.296,0.497261774,93
Acetic acid ,https://www.drugbank.ca/drugs/DB03166,acetic acid,64-19-7,C2H4O2,2,4,2,0,0,0,CC(=O)O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",60.05,4.8,-0.17,1.22,37.3,5.34,2,1,-8.101,-6.816,-1.07,6.816,1.07,3.943,2.873,0.98575,0.532022276,92
Acepromazine,https://www.drugbank.ca/drugs/DB01614,1-{10-[3-(dimethylamino)propyl]-10H-phenothiazin-2-yl}ethan-1-one,61-00-7,C19H22N2OS,19,22,2,1,1,0,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O,"InChI=1S/C19H22N2OS/c1-14(22)15-9-10-19-17(13-15)21(12-6-11-20(2)3)16-7-4-5-8-18(16)23-19/h4-5,7-10,13H,6,11-12H2,1-3H3",326.5,9.3,4.3,-4.5,25.2,37.17,3,0,-5.389,-4.924,-2.529,4.924,2.529,3.7265,1.1975,0.931625,1.366805846,93.17992587
Acetylmethadol ,https://www.drugbank.ca/drugs/DB01433,"Acetato de 6- (dimetilamino) -4,4-difenilheptan-3-ilo",509-74-0,C 23 H 31 NO 2,23,31,1,2,0,0,CCC (OC (C) = O) C (CC (C) N (C) C) (C1 = CC = CC = C1) C1 = CC = CC = C1,"InChI = 1S / C23H31NO2 / c1-6-22 (26-19 (3) 25) 23 (17-18 (2) 24 (4) 5,20-13-9-7-10-14-20) 21- 15-11-8-12-16-21 / h7-16,18,22H, 6,17H2,1-5H3",353.5,9.87,4.27,-5.3,29.54,40.82,2,0,-6.333,-5.163,-1.485,5.163,1.485,3.324,1.839,0.831,0.999456226,92.47303949
Alphameprodine,https://pubchem.ncbi.nlm.nih.gov/compound/61119#section=Names-and-Identifiers,"[(3S,4R)-3-ethyl-1-methyl-4-phenylpiperidin-4-yl] propanoate",468-51-9,C17H25NO2,17,25,1,2,0,0,"CCC1CN(CCC1(C2=CC=CC=C2)OC(=O)CC)C

","InChI=1S/C17H25NO2/c1-4-14-13-18(3)12-11-17(14,20-16(19)5-2)15-9-7-6-8-10-15/h6-10,14H,4-5,11-13H2,1-3H3/t14-,17+/m0/s1",275.4,9.1,3.46,-3.1,29.54,31.7,2,0,-6.175,-5.284,-1.511,5.284,1.511,3.3975,1.8865,0.849375,0.954810496,94.5982737
Alphaprodine,https://pubchem.ncbi.nlm.nih.gov/compound/6471#section=Names-and-Identifiers,"(1,3-dimethyl-4-phenylpiperidin-4-yl) propanoate","77-20-3

",C16H23NO2,16,23,1,2,0,0,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2,"InChI=1S/C16H23NO2/c1-4-15(18)19-16(14-8-6-5-7-9-14)10-11-17(3)12-13(16)2/h5-9,13H,4,10-12H2,1-3H3",261.36,8.7,3.24,-2.7,29.54,29.83,2,0,-6.166,-5.302,-1.501,5.302,1.501,3.4015,1.9005,0.850375,0.946724546,95.56685946
Alprenolol,https://www.drugbank.ca/drugs/DB00866,1-[2-(prop-2-en-1-yl)phenoxy]-3-[(propan-2-yl)amino]propan-2-ol,13655-52-2,C15H23NO2,15,23,1,2,0,0,CC(C)NCC(O)COC1=CC=CC=C1CC=C,"InChI=1S/C15H23NO2/c1-4-7-13-8-5-6-9-15(13)18-11-14(17)10-16-12(2)3/h4-6,8-9,12,14,16-17H,1,7,10-11H2,2-3H3",249.35,9.6,3.1,-3.1,41.49,29.38,2,3,-6.035,-5.694,-1.455,5.694,1.455,3.5745,2.1195,0.893625,0.808091531,85.65030218
Amantadine,https://www.drugbank.ca/drugs/DB00915,adamantan-1-amine,768-94-5,C10H17N,10,17,1,0,0,0,NC12CC3CC(CC(C3)C1)C2,,151.25,10.8,2.44,-3.2,26.02,17.92,1,1,-6.749,-5.969,5.844,5.969,-5.844,0.0625,5.9065,0.015625,0.587276729,84.12057263
Aminobenzoic acid,https://www.drugbank.ca/drugs/DB02362,4-aminobenzoic acid,150-13-0,C7H7NO2,7,7,1,2,0,0,NC1=CC=C(C=C1)C(O)=O,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)
",137.14,3.38,0.83,-0.4,63.32,13.44,3,2,-6.315,-5.922,-2.122,5.922,2.122,4.022,1.9,1.0055,0.783684211,80
Aminocaproic acid,https://www.drugbank.ca/drugs/DB00513,6-aminohexanoic acid,60-32-2,C6H13NO2,6,13,1,2,0,0,NCCCCCC(O)=O,"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)",131.17,4.43,-2.95,-0.46,63.32,14.71,3,2,-6.941,-6.178,-0.508,6.178,0.508,3.343,2.835,0.83575,0.644973545,86.33562123
Aminophylline,https://www.drugbank.ca/drugs/DB01223,"bis(1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione); ethane-1,2-diamine",317-34-0,C16H24N10O4,16,24,10,4,0,0,"CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
","InChI=1S/2C7H8N4O2.C2H8N2/c2*1-10-5-4(8-3-9 5)6(12)11(2)7(10)13;3-1-2-4/h2*3H,1-2H3,(H,8,9);1-4H2
",420.43,5,-3.03,-0.9,69.3,16.86,3,1,-5.91,-5.869,-2.115,5.869,2.115,3.992,1.877,0.998,0.801278636,87
4-Aminohippuric acid,http://www.hmdb.ca/metabolites/HMDB0001867,2-[(4-aminophenyl)formamido]acetic acid,61-78-9,C9H10N2O3,8,10,2,3,0,0,NC1=CC=C(C=C1)C(=O)NCC(O)=O,"InChI=1S/C9H10N2O3/c10-7-3-1-6(2-4-7)9(14)11-5-8(12)13/h1-4H,5,10H2,(H,11,14)(H,12,13)",194.19,3.64,-0.89,-1.8,92.42,19.13,4,3,-6.202,-6.037,-2.391,6.037,2.391,4.214,1.823,1.0535,0.764125069,85.67847301
Aminopterin,http://www.hmdb.ca/metabolites/HMDB0001833,"2-[(4-{[(2,4-diaminopteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid","	54-62-6",C19H20N8O5,19,20,8,5,0,0,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)C=N2)C(N)=N1,"InChI=1S/C19H20N8O5/c20-15-14-16(27-19(21)26-15)23-8-11(24-14)7-22-10-3-1-9(2-4-10)17(30)25-12(18(31)32)5-6-13(28)29/h1-4,8,12,22H,5-7H2,(H,25,30)(H,28,29)(H,31,32)(H4,20,21,23,26,27)",440.4,5.5,0.25,-3.6,219.33,44.13,12,6,-5.879,-5.663,-2.923,5.663,2.923,4.293,1.37,1.07325,0.987956204,89.71289656
Aminosalicylic Acid,http://www.hmdb.ca/metabolites/HMDB0014378,4-amino-2-hydroxybenzoic acid,65-49-6,C7H7NO3,7,7,1,3,0,0,NC1=CC(O)=C(C=C1)C(O)=O,"InChI=1S/C7H7NO3/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,9H,8H2,(H,10,11)
",153.14,2.05,0.89,-1.1,83.55,14.29,4,3,-6.06,-5.978,-2.062,5.978,2.062,4.02,1.958,1.005,0.760980592,86.33074311
Amitriptyline,https://www.drugbank.ca/drugs/DB00321,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine",50-48-6,C20H23N,20,23,1,0,0,0,CN(C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3
",277.4,9.4,4.92,-4.39,3.24,33.74,1,0,-5.992,-5.211,-1.887,5.211,1.887,3.549,1.662,0.88725,1.03820698,94
Amobarbital,https://www.drugbank.ca/drugs/DB01351,"5-ethyl-5-(3-methylbutyl)-1,3-diazinane-2,4,6-trione",57-43-2,C11H18N2O3,11,18,2,3,0,0,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,"InChI=1S/C11H18N2O3/c1-4-11(6-5-7(2)3)8(14)12-10(16)13-9(11)15/h7H,4-6H2,1-3H3,(H2,12,13,14,15,16)",226.27,8,2.07,-2.57,75.27,23.45,3,2,-7.058,-6.679,-2.413,6.679,2.413,4.546,2.133,1.1365,0.575246132,89.37881421
Amoxicillin,https://www.drugbank.ca/drugs/DB01351,"(2S,5R,6R)-6-[(2R)-2-amino-2-(4-hydroxyphenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","57-43-2
",C16H19N3O5S,16,19,3,5,1,0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1",365.4,2.4,0.87,-2.6,132.96,35.52,6,4,-6.097,-5.999,-1.885,5.999,1.885,3.942,2.057,0.9855,0.743315508,94.47
